for 0.6
Front Nose down 
A:  -0.3  -0.1 | G:    0.8   -3.5   -1.0 | P:  -0.2   2.2   2.1 | M: 1104 1096 1100 1100 | V: 11915 | T: 689 us
A:  -0.0  -0.1 | G:    0.6   -4.8    0.2 | P:  -0.4   3.0  -0.3 | M: 1103 1097 1097 1103 | V: 11915 | T: 689 us
A:   0.0  -0.0 | G:    1.0   -9.4    0.3 | P:  -0.6   5.7  -0.6 | M: 1105 1095 1095 1105 | V: 11911 | T: 689 us
A:   0.1   0.3 | G:    0.1  -13.9   -0.1 | P:  -0.1   8.0   0.3 | M: 1108 1092 1092 1108 | V: 11915 | T: 689 us
A:   0.1   1.0 | G:    0.7  -20.4    0.2 | P:  -0.5  11.0  -0.3 | M: 1111 1089 1089 1111 | V: 11911 | T: 689 us
A:   0.2   2.8 | G:    0.8  -21.9    0.8 | P:  -0.8   9.9  -1.6 | M: 1108 1092 1090 1110 | V: 11911 | T: 689 us
A:   0.3   4.8 | G:    0.2  -23.3    0.3 | P:  -0.5   8.2  -0.6 | M: 1108 1092 1092 1108 | V: 11911 | T: 689 us
A:   0.3   7.0 | G:    0.5  -27.9    0.5 | P:  -0.6   8.3  -1.0 | M: 1108 1092 1092 1108 | V: 11911 | T: 689 us
A:   0.3   9.7 | G:    0.5  -28.5    0.2 | P:  -0.6   5.5  -0.5 | M: 1105 1095 1095 1105 | V: 11911 | T: 689 us
A:   0.4  12.8 | G:    0.6  -28.4    0.5 | P:  -0.8   1.7  -1.0 | M: 1101 1099 1099 1101 | V: 11911 | T: 689 us
A:   0.4  16.2 | G:    0.7  -25.2    0.7 | P:  -0.9  -4.3  -1.4 | M: 1095 1105 1103 1097 | V: 11911 | T: 690 us
A:   0.6  19.4 | G:    1.0  -20.7    1.5 | P:  -1.3 -10.9  -3.0 | M: 1088 1114 1106 1092 | V: 11911 | T: 690 us
A:   0.5  22.2 | G:    0.6  -17.7    1.0 | P:  -0.9 -16.0  -1.9 | M: 1083 1117 1115 1085 | V: 11911 | T: 690 us
A:   0.4  24.3 | G:    0.8  -15.9    1.7 | P:  -1.0 -19.6  -3.4 | M: 1079 1123 1115 1083 | V: 11911 | T: 690 us
A:   0.6  26.5 | G:    1.6  -13.8    2.4 | P:  -1.7 -23.5  -4.9 | M: 1074 1128 1118 1080 | V: 11911 | T: 690 us
A:   0.5  28.4 | G:    1.3  -12.5    2.2 | P:  -1.4 -26.6  -4.5 | M: 1071 1131 1121 1077 | V: 11915 | T: 690 us
A:   0.4  30.0 | G:    0.7  -11.0    1.1 | P:  -0.9 -29.4  -2.2 | M: 1069 1131 1127 1073 | V: 11915 | T: 690 us
A:   0.3  31.2 | G:   -0.2   -9.7   -0.1 | P:  -0.2 -31.6   0.1 | M: 1069 1131 1131 1069 | V: 11911 | T: 690 us
